,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,final c data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ddmin,,,,,,,,,"probdd, shuffle",,,,,,,,probdd,,,,,,,,cdd shuffle,,,,,,,,cdd,,,,,,
,,,,"ddmin, average",,,,,,,,,"probdd, shuffle, average",,,,,,,,"probdd, average",,,,,,,,"cdd, shuffle, average",,,,,,,,"cdd, average",,,,
,,,time/s,size,# iteration,# test,time/h,time/format,,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format
,xml-327c8af-1,,863.5,55,3,527,0.240,0:14:24,,,,624.6,55,3,319.4,0.174,0:10:25,,,581.6,55,3,301,0.162,0:09:42,,,,,,,,,,,957.8,55,4,392,0.266,0:15:58
,xml-3398ac2-1,,344.5,45,2,225,0.096,0:05:45,,,,382.8,43.6,2.6,191.6,0.106,0:06:23,,,277.8,38,2,151,0.077,0:04:38,,,,,,,,,,,605.2,48,3,268,0.168,0:10:05
,xml-3398ac2-2,,613,48,3,358,0.170,0:10:13,,,,491.6,48,3,255.4,0.137,0:08:12,,,457.6,48,3,233,0.127,0:07:38,,,,,,,,,,,578.4,48,3,238,0.161,0:09:38
,xml-3398ac2-3,,632,62,2,347,0.176,0:10:32,,,,574.2,62,2.6,276.4,0.160,0:09:34,,,466.2,62,2,208,0.130,0:07:46,,,,,,,,,,,763.8,62,3,306,0.212,0:12:44
,xml-3398ac2-4,,1418.5,111,3,802,0.394,0:23:39,,,,1197,111.6,3,584,0.333,0:19:57,,,1264.6,125,3,605,0.351,0:21:05,,,,,,,,,,,1722,111,4,680,0.478,0:28:42
,xml-3398ac2-5,,849.5,44,3,507,0.236,0:14:10,,,,530.8,38,3.2,268.8,0.147,0:08:51,,,628.4,41,4,312,0.175,0:10:28,,,,,,,,,,,633.4,44,3,261,0.176,0:10:33
,xml-4c99b96-1,,1427,80,3,699,0.396,0:23:47,,,,1125.6,77.6,3.4,451.8,0.313,0:18:46,,,1313.2,74,4,446,0.365,0:21:53,,,,,,,,,,,1385.2,80,3,438,0.385,0:23:05
,xml-4c99b96-10,,1011.5,46,4,443,0.281,0:16:52,,,,760,46.6,3.6,298.8,0.211,0:12:40,,,888.8,46,4,291,0.247,0:14:49,,,,,,,,,,,872.8,46,3,256,0.242,0:14:33
,xml-4c99b96-11,,867.5,53,3,357,0.241,0:14:28,,,,660.8,53.6,2.8,252.2,0.184,0:11:01,,,823.8,53,3,250,0.229,0:13:44,,,,,,,,,,,791.2,53,3,236,0.220,0:13:11
,xml-4c99b96-12,,2429,102,5,1077,0.675,0:40:29,,,,1592,103.8,3.4,626,0.442,0:26:32,,,2116.6,102,4,646,0.588,0:35:17,,,,,,,,,,,2421.6,102,5,773,0.673,0:40:22
